Designator,Mid X,Mid Y,Rotation,Layer
5V,114.3,-96.52,0.0,top
Audio Jack,86.36,-73.66,0.0,top
C1,88.9,-86.36,270.0,top
C2,116.84,-73.66,270.0,top
C3,109.22,-83.82,270.0,top
C4,116.84,-86.36,90.0,top
GND,124.46,-96.52,0.0,top
LM386,106.68,-78.74,270.0,top
R1,106.68,-88.9,180.0,top
RV1,96.455,-86.32,90.0,top
Vin,105.405,-71.12,270.0,top
Vout,81.28,-96.52,0.0,top
